information,price,notebook_id
"Ноутбук; Производитель: Apple. Операционная система: MacOS; Диагональ экрана: 13.3""; Яркость: 400; Разрешение экрана: 2560x1600
Пикс; Тип матрицы: IPS; Производитель процессора: Apple; Тактовая частота: 3.18; Количество ядер: 8; Тип видеокарты: Интегриров",89990,84
"Ноутбук; Производитель: Irbis. Операционная система: Windows 10 Домашняя; Диагональ экрана: 15.6""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2; Количество ядер: 2; Тип вид",31999,85
"Ноутбук; Производитель: Apple. Операционная система: MacOS; Диагональ экрана: 13.6""; Яркость: 500; Разрешение экрана: 2560x1664
Пикс; Производитель процессора: Apple; Количество ядер: 8; Тип видеокарты: Интегрированная; Производитель видеокарты: Apple; Мо",139999,86
"Производитель: HP. Ноутбук HP ""14s-dq0047ur"" 3B3L8EA (Pentium N5030-1.10ГГц, 4ГБ, 256ГБ SSD, UHDG, WiFi, BT, WebCam, 14.0"" 1920x1080, без ОС), черный",28496,87
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 6; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.2 ГГц;",109999,88
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./AHVA/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 12450H; ОС Win",69999,89
"Ноутбук; Производитель: HP. Операционная система: Windows 11 Домашняя; Диагональ экрана: 14""; Яркость: 250; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: AMD; Тактовая частота: 2.1; Количество ядер: 6",49999,90
"Ноутбук; Производитель: Lenovo. Операционная система: Windows 10 Домашняя x64; Диагональ экрана: 17.3""; Разрешение экрана: 1600x900
Пикс; Тип матрицы: TN; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.8; Количество ядер: 4; Ти",59999,91
"Ноутбук; Производитель: Apple. Операционная система: MacOS; Диагональ экрана: 13.6""; Разрешение экрана: 2560x1664
Пикс; Тип матрицы: IPS; Производитель процессора: Apple; Количество ядер: 8; Объем оперативной памяти: 8
ГБ; Объем накопителя: 256; Тип оптич",109999,92
"Игровой ноутбук; Производитель: MSI. Операционная система: Windows 11; Диагональ экрана: 17.3""; Разрешение экрана: 2560x1440
Пикс; Тип матрицы: IPS-level; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.3; Количество ядер: 16; Т",242999,93
